nt_cluster,uniport_cluster
Cluster-81952.0_TRINITY_DN199487_c3_g2,Cluster-91889.0_TRINITY_DN210414_c0_g1
Cluster-97302.0_TRINITY_DN194445_c9_g2,Cluster-105581.0_TRINITY_DN200160_c5_g2
Cluster-104839.0_TRINITY_DN199607_c1_g1,Cluster-88825.4_TRINITY_DN203980_c1_g3
Cluster-111233.0_TRINITY_DN208723_c2_g1,Cluster-88825.1_TRINITY_DN203980_c1_g5
Cluster-109712.2_TRINITY_DN196076_c1_g1,Cluster-93530.1_TRINITY_DN199555_c6_g1
Cluster-75559.1_TRINITY_DN205650_c6_g2,Cluster-64276.0_TRINITY_DN203061_c1_g2
Cluster-109393.0_TRINITY_DN204221_c0_g3,Cluster-69239.2_TRINITY_DN210021_c0_g1
Cluster-97526.0_TRINITY_DN198498_c1_g2,Cluster-110546.5_TRINITY_DN207863_c3_g2
Cluster-110900.0_TRINITY_DN205306_c2_g3,Cluster-110921.1_TRINITY_DN201258_c2_g1
Cluster-27162.4_TRINITY_DN208327_c1_g1,Cluster-96164.4_TRINITY_DN210349_c1_g1
Cluster-106599.2_TRINITY_DN204189_c1_g1,Cluster-101342.0_TRINITY_DN204523_c4_g4
Cluster-106599.0_TRINITY_DN204189_c1_g1,Cluster-90932.0_TRINITY_DN194691_c2_g3
Cluster-86834.0_TRINITY_DN205102_c0_g1,Cluster-111964.0_TRINITY_DN209977_c4_g4
Cluster-72374.10_TRINITY_DN199932_c2_g2,Cluster-103601.27_TRINITY_DN204921_c2_g1
Cluster-113709.0_TRINITY_DN198118_c7_g3,Cluster-96596.0_TRINITY_DN198112_c0_g1
Cluster-103858.0_TRINITY_DN210080_c5_g2,Cluster-108166.3_TRINITY_DN209232_c5_g1
Cluster-112642.3_TRINITY_DN210413_c0_g3,Cluster-85036.0_TRINITY_DN209988_c6_g2
Cluster-94498.0_TRINITY_DN194074_c11_g1,Cluster-106599.2_TRINITY_DN204189_c1_g1
Cluster-75303.2_TRINITY_DN209251_c3_g2,Cluster-108917.3_TRINITY_DN210573_c1_g1
Cluster-75303.0_TRINITY_DN209251_c3_g2,Cluster-108917.4_TRINITY_DN206851_c3_g1
Cluster-63129.0_TRINITY_DN193241_c2_g4,Cluster-108917.0_TRINITY_DN206851_c3_g1
Cluster-98510.0_TRINITY_DN202809_c2_g3,Cluster-88411.0_TRINITY_DN200892_c2_g3
Cluster-67804.0_TRINITY_DN206204_c8_g4,Cluster-102906.0_TRINITY_DN206851_c2_g3
Cluster-64988.1_TRINITY_DN195830_c2_g3,Cluster-113859.0_TRINITY_DN203329_c3_g3
Cluster-63876.0_TRINITY_DN195830_c2_g3,Cluster-112069.1_TRINITY_DN198861_c0_g1
Cluster-18452.111_TRINITY_DN199490_c4_g6,Cluster-98104.0_TRINITY_DN194894_c3_g1
Cluster-104040.0_TRINITY_DN210396_c5_g1,Cluster-109170.3_TRINITY_DN206800_c0_g2
Cluster-102431.4_TRINITY_DN203082_c2_g2,Cluster-94477.14_TRINITY_DN207475_c0_g2
Cluster-100987.0_TRINITY_DN200254_c2_g1,Cluster-110072.2_TRINITY_DN202743_c0_g2
Cluster-114439.2_TRINITY_DN207755_c5_g2,Cluster-110072.3_TRINITY_DN202743_c0_g2
Cluster-114439.0_TRINITY_DN207755_c5_g2,Cluster-89208.11_TRINITY_DN203336_c0_g1
Cluster-111178.2_TRINITY_DN200281_c0_g1,Cluster-82474.0_TRINITY_DN202876_c1_g1
Cluster-114077.0_TRINITY_DN206170_c1_g1,Cluster-98001.0_TRINITY_DN208556_c1_g3
Cluster-104933.0_TRINITY_DN203205_c0_g1,Cluster-100641.0_TRINITY_DN175538_c0_g1
Cluster-92380.0_TRINITY_DN209345_c6_g2,Cluster-99924.0_TRINITY_DN203691_c0_g3
Cluster-112293.1_TRINITY_DN194802_c2_g2,Cluster-84449.1_TRINITY_DN189176_c0_g1
Cluster-93338.0_TRINITY_DN200489_c2_g1,Cluster-92834.0_TRINITY_DN196776_c2_g4
Cluster-104520.8_TRINITY_DN207209_c0_g3,Cluster-89592.0_TRINITY_DN199676_c2_g2
Cluster-85857.4_TRINITY_DN211038_c1_g1,Cluster-101858.2_TRINITY_DN211193_c3_g1
Cluster-93678.1_TRINITY_DN202880_c3_g1,Cluster-102911.0_TRINITY_DN209205_c2_g2
Cluster-69512.0_TRINITY_DN207161_c5_g1,Cluster-64365.1203_TRINITY_DN199435_c0_g2
Cluster-111170.0_TRINITY_DN208529_c1_g3,Cluster-103293.2_TRINITY_DN206592_c2_g2
Cluster-96706.0_TRINITY_DN203755_c4_g1,Cluster-100808.0_TRINITY_DN196951_c1_g5
Cluster-101459.13_TRINITY_DN210519_c5_g1,Cluster-79974.20_TRINITY_DN196951_c1_g1
Cluster-114374.0_TRINITY_DN208552_c6_g1,Cluster-112309.0_TRINITY_DN186105_c0_g1
Cluster-113197.1_TRINITY_DN204141_c1_g1,Cluster-91135.1_TRINITY_DN206100_c0_g2
Cluster-102911.0_TRINITY_DN209205_c2_g2,Cluster-97721.0_TRINITY_DN205905_c0_g1
Cluster-94099.1_TRINITY_DN202268_c0_g5,Cluster-64365.1405_TRINITY_DN206879_c1_g1
Cluster-70840.1_TRINITY_DN209411_c1_g2,Cluster-75559.3_TRINITY_DN208836_c2_g1
Cluster-70840.0_TRINITY_DN209411_c1_g2,Cluster-103053.0_TRINITY_DN195744_c0_g1
