nt_cluster,uniport_cluster
Cluster-98611.5_TRINITY_DN208563_c1_g1,Cluster-95274.0_TRINITY_DN198832_c2_g1
Cluster-98611.10_TRINITY_DN208563_c0_g1,Cluster-95272.3_TRINITY_DN198934_c6_g1
Cluster-98607.1_TRINITY_DN201242_c0_g1,Cluster-95272.0_TRINITY_DN198934_c6_g2
Cluster-98555.0_TRINITY_DN209129_c2_g1,Cluster-94918.0_TRINITY_DN209203_c0_g2
Cluster-98521.1_TRINITY_DN203940_c4_g2,Cluster-94902.0_TRINITY_DN209285_c3_g3
Cluster-98510.4_TRINITY_DN201482_c0_g2,Cluster-94892.0_TRINITY_DN200640_c0_g1
Cluster-98510.0_TRINITY_DN202809_c2_g3,Cluster-94867.0_TRINITY_DN207953_c1_g1
Cluster-98492.0_TRINITY_DN194544_c0_g1,Cluster-94860.0_TRINITY_DN205404_c0_g4
Cluster-98479.0_TRINITY_DN203511_c0_g1,Cluster-94824.0_TRINITY_DN208233_c2_g1
Cluster-98450.0_TRINITY_DN209980_c2_g3,Cluster-94652.1_TRINITY_DN210006_c1_g2
Cluster-9844.1_TRINITY_DN210741_c0_g2,Cluster-94582.0_TRINITY_DN206028_c0_g5
Cluster-98426.0_TRINITY_DN201377_c2_g1,Cluster-94498.0_TRINITY_DN194074_c11_g1
Cluster-98423.0_TRINITY_DN201683_c3_g1,Cluster-94477.14_TRINITY_DN207475_c0_g2
Cluster-98337.1_TRINITY_DN204610_c1_g1,Cluster-94416.0_TRINITY_DN206199_c2_g2
Cluster-98284.0_TRINITY_DN198372_c4_g1,Cluster-94402.0_TRINITY_DN203402_c1_g2
Cluster-98249.0_TRINITY_DN203876_c8_g2,Cluster-94115.0_TRINITY_DN198241_c0_g1
Cluster-98239.0_TRINITY_DN203649_c4_g2,Cluster-94069.0_TRINITY_DN197094_c2_g6
Cluster-98234.0_TRINITY_DN204997_c0_g5,Cluster-94052.0_TRINITY_DN207824_c0_g3
Cluster-98229.2_TRINITY_DN200706_c2_g2,Cluster-94010.1_TRINITY_DN202114_c0_g4
Cluster-98229.1_TRINITY_DN200706_c2_g2,Cluster-94010.0_TRINITY_DN202114_c0_g4
Cluster-98224.0_TRINITY_DN207002_c2_g2,Cluster-93952.3_TRINITY_DN205347_c1_g1
Cluster-98219.1_TRINITY_DN202384_c0_g1,Cluster-93912.0_TRINITY_DN211085_c2_g2
Cluster-98211.6_TRINITY_DN206578_c3_g3,Cluster-93871.2_TRINITY_DN208881_c0_g1
Cluster-98211.4_TRINITY_DN202218_c2_g2,Cluster-93827.0_TRINITY_DN208160_c0_g2
Cluster-98211.3_TRINITY_DN202218_c2_g2,Cluster-93738.0_TRINITY_DN199666_c1_g1
Cluster-98173.0_TRINITY_DN199735_c2_g3,Cluster-93530.1_TRINITY_DN199555_c6_g1
Cluster-98162.1_TRINITY_DN206197_c0_g7,Cluster-93447.5_TRINITY_DN201121_c1_g2
Cluster-98154.0_TRINITY_DN207908_c0_g1,Cluster-93324.8_TRINITY_DN211230_c1_g2
Cluster-98119.0_TRINITY_DN195241_c1_g2,Cluster-93324.39_TRINITY_DN210361_c4_g2
Cluster-98077.2_TRINITY_DN197527_c2_g1,Cluster-93255.8_TRINITY_DN209505_c1_g1
Cluster-9806.0_TRINITY_DN191029_c5_g1,Cluster-93229.2_TRINITY_DN208937_c1_g2
Cluster-98001.0_TRINITY_DN208556_c1_g3,Cluster-93229.1_TRINITY_DN208937_c1_g2
Cluster-97956.0_TRINITY_DN210369_c1_g2,Cluster-93229.0_TRINITY_DN207390_c2_g2
Cluster-97948.0_TRINITY_DN211077_c2_g1,Cluster-93212.1_TRINITY_DN206251_c1_g1
Cluster-97937.0_TRINITY_DN164593_c0_g1,Cluster-93122.0_TRINITY_DN205476_c6_g5
Cluster-97886.0_TRINITY_DN211013_c1_g4,Cluster-93076.1_TRINITY_DN203287_c0_g6
Cluster-97858.0_TRINITY_DN204574_c1_g2,Cluster-93017.0_TRINITY_DN210002_c3_g1
Cluster-97839.0_TRINITY_DN209988_c6_g1,Cluster-92834.0_TRINITY_DN196776_c2_g4
Cluster-97831.2_TRINITY_DN198234_c1_g3,Cluster-92662.0_TRINITY_DN208557_c4_g2
Cluster-97822.1_TRINITY_DN200764_c3_g1,Cluster-92632.0_TRINITY_DN195314_c3_g3
Cluster-97768.0_TRINITY_DN209374_c1_g2,Cluster-92608.20_TRINITY_DN198559_c3_g2
Cluster-97751.1_TRINITY_DN195836_c1_g1,Cluster-92584.0_TRINITY_DN199149_c0_g6
Cluster-97736.0_TRINITY_DN209988_c6_g3,Cluster-92263.0_TRINITY_DN210106_c6_g1
Cluster-97721.0_TRINITY_DN205905_c0_g1,Cluster-92160.0_TRINITY_DN206264_c3_g1
Cluster-977.0_TRINITY_DN203673_c3_g1,Cluster-91948.0_TRINITY_DN200062_c1_g6
Cluster-97681.0_TRINITY_DN210982_c1_g3,Cluster-91889.0_TRINITY_DN210414_c0_g1
Cluster-97675.8_TRINITY_DN208939_c1_g1,Cluster-91819.0_TRINITY_DN203896_c0_g3
Cluster-97675.7_TRINITY_DN208939_c1_g1,Cluster-91621.0_TRINITY_DN200712_c1_g1
Cluster-97675.6_TRINITY_DN208939_c1_g1,Cluster-91336.0_TRINITY_DN204449_c2_g1
Cluster-97675.4_TRINITY_DN194554_c0_g1,Cluster-91249.4_TRINITY_DN204927_c0_g1
Cluster-97675.1_TRINITY_DN194554_c0_g1,Cluster-91140.0_TRINITY_DN195874_c7_g1
Cluster-97675.0_TRINITY_DN194554_c0_g1,Cluster-91135.1_TRINITY_DN206100_c0_g2
Cluster-97665.0_TRINITY_DN201809_c2_g1,Cluster-91036.1_TRINITY_DN196371_c10_g1
Cluster-97649.0_TRINITY_DN210706_c3_g1,Cluster-90932.3_TRINITY_DN197639_c7_g1
Cluster-97636.0_TRINITY_DN208830_c3_g1,Cluster-90932.1_TRINITY_DN210973_c2_g2
