CK,Cu
1.903928839,1.041688416
2.271108397,3.173929088
1.412649633,0
1.706230387,2.317014568
2.212455267,1.515316089
2.705548894,3.413228711
0.314141091,2.182835691
0,2.092320523
0.169695383,2.231641648
2.256072453,1.414178764
1.167738072,2.20290164
0.584757043,1.550558379
1.178518089,1.911861835
1.589192973,2.648948501
1.178639292,2.125846609
2.211624585,1.314607171
1.919381402,0.377522869
2.26348649,1.058572265
1.668191231,0
1.907332166,1.282541137
2.18316909,1.541866333
1.389399207,2.398065788
1.924821839,2.702071001
2.506920892,3.164006593
2.573058712,3.214217908
1.616076325,2.362218422
2.161722102,3.626847131
2.008001746,3.034705791
0.77153432,1.806589783
0.886220034,1.758679512
1.46084589,2.33996489
0,1.461945247
0.652362744,2.325018749
0.473916818,2.246695853
0,1.773733664
2.158055189,1.424149521
1.419555495,2.638901577
1.699603823,0.775573535
2.437759487,3.145105114
1.126268332,1.816888493
0,2.261893117
1.477749837,2.13163622
3.34187428,2.733723017
1.058307119,2.43644509
1.006153557,1.929037933
1.666788342,2.554475637
1.774219574,2.398413172
1.920257983,1.080478631
2.060421349,2.958203536
2.276060202,3.415606975
1.776396048,2.75167422
1.413649297,2.22378023
1.950737751,3.103146451
1.689723987,2.618898489
2.107941429,2.990711596
1.96034646,2.921262624
0,2.019761628
2.01323115,2.756443962
0,2.20799779
2.597260338,3.333462045
1.568091068,0.907522713
0,1.704503535
1.775262813,1.075055201
1.729911931,2.560845923
2.57953131,3.26966486
2.471569347,3.221256878
1.515098726,2.416066178
2.369851092,3.139558565
1.005431852,1.839391205
1.555150206,0.16207587
1.038686953,2.306160175
1.644997903,2.428089437
0,1.567052952
1.03927799,1.694086722
1.238357662,2.108094666
0.424343962,1.514842424
1.023802862,3.098052707
2.569591224,3.280620578
2.857856366,3.684736016
2.942038067,3.808496772
2.172743042,2.855017548
1.827423566,2.535333826
2.194886696,3.031009879
2.140549245,3.196393923
1.135009561,1.924001372
1.935030924,1.097013137
2.310504457,1.279913295
3.031118734,1.328843453
1.70044465,2.381243847
2.080903255,1.044121208
2.564156395,3.553080708
2.448780801,1.546442407
2.310036917,3.163390224
2.368378796,3.20199422
2.413822429,3.041380324
0.504181521,2.431720138
1.778301019,2.531843414
1.985312596,3.032861344
2.912889463,2.308304197
1.657645455,2.466273519
1.234165504,1.930358771
2.59132399,1.691608533
0.067987192,2.307061909
2.109736028,1.26777226
0.472577043,1.789555284
2.567457201,1.117582399
1.259286976,2.879141464
2.001600466,2.743338719
1.984136287,2.636960204
1.655741801,2.396896495
1.695141603,0.682459985
1.623790526,2.338945443
2.794408414,3.999791114
1.368588934,1.97261155
2.73407869,1.9193819
2.579388307,1.783912024
1.037819881,2.31585864
2.41603508,0.672242676
3.036398658,3.795192867
2.641499085,2.016995958
1.535383997,2.233492981
1.836065503,2.594456274
0,1.615444562
0.373958863,1.764298414
0.811435594,2.517048603
0,1.476218035
1.580380037,2.487423079
-0.517635296,1.710668485
1.278265246,1.907798837
-0.537211165,1.309842485
1.854319266,2.737485494
2.382752362,1.743028005
