Ck_R1_RSEM,Ck_R2_RSEM,Ck_R3_RSEM,Cu_R1_RSEM,Cu_R2_RSEM,Cu_R3_RSEM
1.408155134,1.653752633,1.258062312,2.273367083,2.013486073,2.048694227
1.104384671,1.451755742,0.957942335,2.10761693,1.891219565,1.979024538
0.984347258,1.371381919,0.966376423,1.966362345,1.713818031,1.82359159
0.934296407,0.800235789,0.997823081,-0.229884705,-0.142064735,-0.353596274
1.234719705,1.382359298,1.161427901,2.073714685,1.969937498,2.044853217
0.510679031,0.59835271,0.373831145,1.407747712,1.463430092,1.494627606
0.342422681,0.599446376,0.235023159,1.325495139,1.162713726,1.296687124
-0.595166283,-0.651695137,-0.549750892,0.527887566,0.401228167,0.495821753
0.95230801,0.977449227,0.909020854,1.496652939,1.309949384,1.833159866
-0.749579998,-0.690369833,-0.522878745,0.53529412,0.56549363,0.619302076
0.716337288,0.70182693,0.670616886,-0.068033885,-0.277366077,-0.424812155
0.281487888,0.41313205,0.414973348,-0.595166283,-0.578396073,-1.050609993
0,0,0,0.28780173,0.406369835,-0.063989204
1.456472316,1.349724223,1.438779603,0.36567514,0.901076716,0.599118565
0.960470778,1.052270597,1.004321374,1.670449961,1.59018399,1.731596823
-0.42945706,-0.32330639,-0.447331784,0.829753919,0.770925615,0.822952241
1.324488233,1.069816043,1.125090713,0.500373714,0.636186895,0.677515705
0.247482261,0.174059808,0.318897715,0,0,0
0.037824751,0.214578954,-0.103473783,1.322632712,1.015778756,1.160018096
0.796088429,0.852357984,0.83346586,0.298197867,0.002597981,-0.192464972
-0.42945706,-0.280668713,-0.749579998,0.848620117,0.271609301,0.529815197
0,0,0,1.031044717,0.5470359,0.31827208
0.848065895,0.917137753,0.903469829,-0.197226275,0.406369835,-0.266000713
0.495683068,0.949048292,0.39252109,1.483672864,1.222404291,1.57156909
0.510679031,0.905256049,0.535926741,1.445121386,1.309097617,1.687520043
0.131618664,-0.110138279,0.112269768,0,0,0
1.680933503,1.627560426,1.47424541,0.859138297,1.128334637,0.513883186
-0.709965389,-1.408935393,-1.026872146,0.263872677,-0.015472687,0.431524584
-0.356547324,-0.508638306,-0.303643611,1.066884743,0.756483964,1.286366637
0.360404055,0.565257343,0.379124146,1.693911529,1.630631244,2.46006151
0,0,0,0.497067936,0.527887566,0.158060794
1.007320953,1.1079219,0.969881644,-0.159266765,0.27392678,0.115943177
0.013679697,-0.013228266,-0.027334408,0,0,0
0,0,0,0.021602716,0.044147621,0.749968084
0,-1.236572006,0,0.011993115,0.425044875,0.472171147
0.490941205,0.473778835,0.290479813,1.20213398,1.332882627,1.176322821
1.249858472,1.293958886,1.298831252,0.571825249,0.850646235,0.569139725
-0.197226275,-0.280668713,0.017867719,1.08127528,0.894924977,0.526985069
0,0,0,0.220892249,-0.084600165,0.161368002
-0.287350298,-0.044793462,-0.522878745,0.646893624,0.301247089,0.788380515
-0.928117993,-0.735182177,-1.026872146,1.277677963,0.94875518,1.3336689
0,-1.013228266,0,1.138492167,0.790636962,0.306425028
1.234719705,1.229707433,1.344117068,0.910143961,0.623766,0.394276527
-0.15864053,0.179838928,-0.129596095,0.952986065,0.712649702,0.786822379
0.698970004,0.708505881,0.693463127,1.307581605,1.723266807,1.579749309
0.562887381,0.665205628,0.627673032,1.433641846,1.172894698,1.621902961
-0.123205024,-0.088842391,-0.040958608,0.624900602,0.370328008,1.3029367
1.187971702,1.500291376,1.328522306,2.41627095,2.445208644,2.384217172
1.367542274,1.418035992,1.390139938,2.243752186,2.192444785,2.333771615
0.955206538,0.921686475,0.25358029,1.592509848,1.630529571,2.402158172
0.224014811,0.182699903,0.452553063,-1.161150909,-0.950781977,-0.841637508
0,0,0,0.390935107,0.278524965,0.392345155
0.144885418,0.232233521,0.062581984,1.074999186,0.99264187,1.349860082
-0.068033885,-0.099632871,-0.103473783,0.897627091,0.616370472,0.980594156
0.856849679,0.962132469,0.990782692,0.169674434,0.089551883,0.199480915
-0.191789027,0.427648371,-0.749579998,1.680924449,1.521713274,1.764557188
-0.043351421,-0.432973634,-0.337242168,0.50501424,0.711807229,0.895919545
1.452077913,1.487873366,1.36361198,2.245381866,2.03994526,2.11373952
1.084576278,1.183412212,1.050611731,1.802931,1.533365273,1.933709946
0,0,0,0.807670301,0.301247089,0.828659897
0,0,0,1.074560468,0.560623875,0.769967801
0.449940989,0.535673803,0.500099192,1.207149453,1.102639484,1.426088147
1.332256624,1.451172158,1.436989088,2.181097218,2.005326397,2.191839302
2.54713448,2.630041211,2.586519793,3.719744085,3.667748359,3.718191843
0,0,-0.580044252,1.136657162,0.406369835,1.029951642
0.721893016,0.751587005,0.853333105,2.016180617,1.663719766,1.627611614
0.621176282,0.685652184,0.688508808,1.451556183,1.137733795,1.507963758
1.071697945,1.103290472,1.183895915,0.189770956,0.648262406,0.413299764
-0.308918508,-0.444905551,0.136720567,0.994537104,0.90439092,1.199398602
-0.4710833,-0.193820026,-0.772113295,0.308137379,0.452399846,0.800717078
1.409290501,1.492774353,1.389803763,2.463208922,2.076021142,2.3928622
1.300160537,1.287488208,1.248953615,2.414363237,2.045342541,2.482596347
0.822298871,1.009535877,0.827433895,2.101822657,1.759040497,2.097035072
0.120573931,0.29841638,-0.14691047,1.039850178,0.679791171,0.870169721
-0.197226275,0.031812271,-0.068542129,0.964589587,0.685293781,0.832955751
0,0,0,0.327358934,-0.330683119,0.2509077
0,0,0,-0.003050752,0.146748014,0.670431409
0,0,0,0.597914471,-0.084600165,0.445448514
0,0,0,0.524915148,0.155943018,0.313656347
-1.119186408,-1.060480747,-0.355561411,0.756331767,0.567849451,0.418798291
0.501470072,0.638888425,0.531223375,0.079543007,-0.187086643,-0.223298816
-0.14327111,-0.536107011,0,1.88112206,1.669893078,1.937387484
-0.391473966,-0.55129368,-0.364516253,0.192846115,0.259593879,0.483444648
0.71130096,0.805568818,0.821316971,1.516191504,1.427713259,1.441836474
0.279666944,0.317018101,0.225309282,1.248390185,0.664735969,1.21666723
0.106530854,0.310905629,-0.049635146,0,-1.292429824,0
